full_name,ORCID,google_scholar,bbp-member
"Michael L. Hines",0009-0002-2976-7910,-,false
"Georg Hinkel",0000-0002-6462-5208,yXy_x_wAAAAJ,false
"Lynette Hirschman",-,BSY62VAAAAAJ,false
"Patrick R. Hof",-,-,false
"Sune Holm",-,AKwqbTIAAAAJ,false
"Anthony Holtmaat",-,RnLdpNgAAAAJ,false
"Houman Honaryar",-,vonZZnkAAAAJ,false
"Michael W. Hopkins",-,-,false
"Illia Horenko",-,nkpzW44AAAAJ,false
"Anna-Lena Horlemann",-,9uICMD8AAAAJ,false
"Morteza Hosseini",-,-,false
"Josh Huang",-,-,false
"Manuel Huber",-,-,false
"Richard Huganir",-,0WhuKSwAAAAJ,false
"Sarah Hunt",-,-,false
"R. Matthew Hutchison",-,aggJETIAAAAJ,false
"Giulio Iannello",0000-0003-3864-5800,L-UJxIgAAAAJ,false
"Daniel Maxim Iascone",-,-,false
"Georgios Iatropoulos",-,-,true
"Elisabetta Iavarone",0000-0001-5157-247X,i_mWV5cAAAAJ,true
"Sander Idema",-,-,false
"Giovanni Idili",-,-,false
"Daniele Ielmini",-,DHFCB_oAAAAJ,false
"Auke Jan Ijspeert",0000-0003-1417-9980,ViYx9vMAAAAJ,false
"Lital Bar Ilan",-,t7m-b5AAAAAJ,false
"Milo Imbeni",-,-,false
"Giacomo Indiveri",-,kdHjCAMAAAAJ,false
"Cédric F. Invernizzi",-,-,false
"Samuel Inverso",-,RKvrOZ8AAAAJ,false
"John Hjort Ipsen",-,-,false
"Afroza K. Irin",-,-,false
"James B Isbister",0000-0002-1013-3013,CFhtPfwAAAAJ,true
"Kei Ito",-,-,false
"Genrich Ivaska",-,-,true
"Chad Jackson",-,-,false
"Viren Jain",-,vXqLMtkAAAAJ,false
"Muhammad Asif Jan",-,F6-L_GUAAAAJ,true
"Jakub Jancovic",-,-,false
"Georges Abou Jaoudé",-,u7TRtooAAAAJ,false
"Aurélien Tristan Jaquier",0000-0001-6202-6175,-,true
"Gregory Jefferis",-,cuXoCA8AAAAJ,false
"Kim E. Jelfs",-,r3IdtREAAAAJ,false
"Lars J. Jensen",-,-,false
"Shuiwang Ji",-,BZGj6sAAAAAJ,false
"Weina Ji",0009-0005-1818-4762,-,true
"Xiaoxuan Jia",-,7waL2dAAAAAJ,false
"Silvia Jimenez",-,-,false
"Viktor Jirsa",0000-0002-8251-8860,0ZVdLpMAAAAJ,false
